date,open,high,low,close,adj_close,volume,ets,number_date,symb,secteur
2020-03-17,9.03,9.14,8.83,9.02,8.9709,49815137,Xianu,21,002024.SZ,technologie
2020-03-16,9.2,9.37,9.02,9.04,8.9908,64718205,Xianu,21,002024.SZ,technologie
2020-03-13,9,9.23,8.9,9.14,9.0902,79191615,Xianu,21,002024.SZ,technologie
2020-03-12,9.4,9.45,9.3,9.33,9.2792,52505457,Xianu,21,002024.SZ,technologie
2020-03-11,9.63,9.64,9.49,9.5,9.4483,48014176,Xianu,21,002024.SZ,technologie
2020-03-10,9.4,9.64,9.38,9.62,9.5676,62492429,Xianu,21,002024.SZ,technologie
2020-03-09,9.8,9.84,9.49,9.54,9.488,93295647,Xianu,21,002024.SZ,technologie
2020-03-06,9.71,10.08,9.67,9.95,9.8958,120482209,Xianu,21,002024.SZ,technologie
2020-03-05,9.8,9.82,9.69,9.78,9.7267,86809458,Xianu,21,002024.SZ,technologie
2020-03-04,9.58,9.77,9.49,9.75,9.6969,92962475,Xianu,21,002024.SZ,technologie
2020-03-03,9.56,9.65,9.5,9.54,9.488,59353600,Xianu,21,002024.SZ,technologie
2020-03-02,9.28,9.49,9.28,9.47,9.4184,51700475,Xianu,21,002024.SZ,technologie
2020-02-28,9.4,9.47,9.27,9.28,9.2295,73634857,Xianu,21,002024.SZ,technologie
2020-02-27,9.65,9.67,9.53,9.56,9.5079,53647018,Xianu,21,002024.SZ,technologie
2020-02-26,9.46,9.84,9.41,9.63,9.5775,98969970,Xianu,21,002024.SZ,technologie
2020-02-25,9.5,9.53,9.37,9.52,9.4681,88538938,Xianu,21,002024.SZ,technologie
2020-02-24,9.75,9.76,9.6,9.64,9.5875,85015349,Xianu,21,002024.SZ,technologie
2020-02-21,9.73,9.88,9.69,9.79,9.7367,95728117,Xianu,21,002024.SZ,technologie
2020-02-20,9.65,9.75,9.56,9.73,9.677,87685854,Xianu,21,002024.SZ,technologie
2020-02-19,9.66,9.71,9.61,9.62,9.5676,51670532,Xianu,21,002024.SZ,technologie
2020-02-18,9.72,9.73,9.62,9.68,9.6273,60099511,Xianu,21,002024.SZ,technologie
2020-03-17,162.5,169.2,131.6,133.1,131.01,36921358,Zee,19,ZEEL.NS,technologie
2020-03-16,175,177.95,162.4,166.35,163.74,9694803,Zee,19,ZEEL.NS,technologie
2020-03-13,177,197.5,155.15,182.8,179.93,12851366,Zee,19,ZEEL.NS,technologie
2020-03-12,191.5,199.8,188.55,190.65,187.65,14234701,Zee,19,ZEEL.NS,technologie
2020-03-11,190,213.85,188,209.5,206.21,27936837,Zee,19,ZEEL.NS,technologie
2020-03-09,215.95,215.95,190.3,194.45,191.39,20444162,Zee,19,ZEEL.NS,technologie
2020-03-06,228.9,230.8,216.55,221.15,217.67,11477990,Zee,19,ZEEL.NS,technologie
2020-03-05,251.75,254.25,235.65,238.15,234.41,13761306,Zee,19,ZEEL.NS,technologie
2020-03-04,248.05,254.45,243.9,251.75,247.79,12369910,Zee,19,ZEEL.NS,technologie
